owner_occupancy_key,owner_occupancy_name
667,Not owner-occupied as a principal dwelling
668,Owner-occupied as a principal dwelling
669,Owner-occupied as a principal dwelling
670,Owner-occupied as a principal dwelling
671,Owner-occupied as a principal dwelling
672,Owner-occupied as a principal dwelling
673,Owner-occupied as a principal dwelling
674,Owner-occupied as a principal dwelling
675,Owner-occupied as a principal dwelling
676,Owner-occupied as a principal dwelling
677,Owner-occupied as a principal dwelling
678,Owner-occupied as a principal dwelling
679,Not owner-occupied as a principal dwelling
680,Owner-occupied as a principal dwelling
681,Not owner-occupied as a principal dwelling
682,Owner-occupied as a principal dwelling
683,Not owner-occupied as a principal dwelling
684,Not owner-occupied as a principal dwelling
685,Owner-occupied as a principal dwelling
686,Owner-occupied as a principal dwelling
687,Not owner-occupied as a principal dwelling
688,Owner-occupied as a principal dwelling
689,Owner-occupied as a principal dwelling
690,Owner-occupied as a principal dwelling
691,Owner-occupied as a principal dwelling
692,Owner-occupied as a principal dwelling
693,Owner-occupied as a principal dwelling
694,Owner-occupied as a principal dwelling
695,Owner-occupied as a principal dwelling
696,Owner-occupied as a principal dwelling
697,Owner-occupied as a principal dwelling
698,Not owner-occupied as a principal dwelling
699,Owner-occupied as a principal dwelling
700,Owner-occupied as a principal dwelling
701,Owner-occupied as a principal dwelling
702,Owner-occupied as a principal dwelling
703,Owner-occupied as a principal dwelling
704,Owner-occupied as a principal dwelling
705,Owner-occupied as a principal dwelling
706,Not owner-occupied as a principal dwelling
707,Owner-occupied as a principal dwelling
708,Not owner-occupied as a principal dwelling
709,Owner-occupied as a principal dwelling
710,Owner-occupied as a principal dwelling
711,Owner-occupied as a principal dwelling
712,Owner-occupied as a principal dwelling
713,Owner-occupied as a principal dwelling
714,Owner-occupied as a principal dwelling
715,Not owner-occupied as a principal dwelling
716,Owner-occupied as a principal dwelling
717,Owner-occupied as a principal dwelling
718,Owner-occupied as a principal dwelling
719,Owner-occupied as a principal dwelling
720,Owner-occupied as a principal dwelling
721,Owner-occupied as a principal dwelling
722,Owner-occupied as a principal dwelling
723,Not owner-occupied as a principal dwelling
724,Owner-occupied as a principal dwelling
725,Owner-occupied as a principal dwelling
726,Owner-occupied as a principal dwelling
727,Owner-occupied as a principal dwelling
728,Owner-occupied as a principal dwelling
729,Owner-occupied as a principal dwelling
730,Owner-occupied as a principal dwelling
731,Owner-occupied as a principal dwelling
732,Owner-occupied as a principal dwelling
733,Owner-occupied as a principal dwelling
734,Owner-occupied as a principal dwelling
735,Owner-occupied as a principal dwelling
736,Owner-occupied as a principal dwelling
737,Owner-occupied as a principal dwelling
738,Owner-occupied as a principal dwelling
739,Owner-occupied as a principal dwelling
740,Owner-occupied as a principal dwelling
741,Owner-occupied as a principal dwelling
742,Owner-occupied as a principal dwelling
743,Owner-occupied as a principal dwelling
744,Owner-occupied as a principal dwelling
745,Owner-occupied as a principal dwelling
746,Owner-occupied as a principal dwelling
747,Owner-occupied as a principal dwelling
748,Owner-occupied as a principal dwelling
749,Owner-occupied as a principal dwelling
750,Owner-occupied as a principal dwelling
751,Owner-occupied as a principal dwelling
752,Owner-occupied as a principal dwelling
753,Owner-occupied as a principal dwelling
754,Owner-occupied as a principal dwelling
755,Not owner-occupied as a principal dwelling
756,Owner-occupied as a principal dwelling
757,Not owner-occupied as a principal dwelling
758,Owner-occupied as a principal dwelling
759,Owner-occupied as a principal dwelling
760,Not owner-occupied as a principal dwelling
761,Owner-occupied as a principal dwelling
762,Owner-occupied as a principal dwelling
763,Owner-occupied as a principal dwelling
764,Owner-occupied as a principal dwelling
765,Owner-occupied as a principal dwelling
766,Not owner-occupied as a principal dwelling
767,Not owner-occupied as a principal dwelling
